address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people)
"164, Cross, Koramangala, Bangalore",Grand Hub 312,Yes,No,3.5/5,160,080 47468575,Koramangala,Cafe,"Butter Chicken, Idli, Rolls",Beverages,400
"163, Ring Road, BTM, Bangalore",The Diner 313,Yes,No,3.6/5,102,080 43751762,BTM,Kiosk,"Cold Coffee, Idli, Noodles, Burgers","South Indian, Italian",200
"193, 2nd Stage, HSR Layout, Bangalore",Spice Junction 314,Yes,Yes,4.1/5,146,080 43104016,HSR Layout,Cafe,"Thali, Biryani, Masala Dosa","Desserts, Continental, Cafe Food",550
"100, Main Road, HSR Layout, Bangalore",Café Bistro 315,Yes,No,3.7/5,195,080 49065425,HSR Layout,Casual Dining,Burgers,BBQ,500
"119, 1st Block, HSR Layout, Bangalore",Spice Restaurant 316,Yes,Yes,4.7/5,197,080 41188579,HSR Layout,Pub,"Tandoori Chicken, Biryani, Gulab Jamun, Momos","Street Food, Cafe Food, Bakery","1,150"
"27, 2nd Stage, Bellandur, Bangalore",Classic Adda 317,No,No,4.4/5,132,080 47326403,Bellandur,Bar,"Sandwiches, Thali, Butter Chicken","Street Food, North Indian, Chinese","1,300"
"164, 1st Block, Koramangala, Bangalore",Blue Adda 318,Yes,Yes,-,204,080 42201015,Koramangala,Quick Bites,Idli,Italian,450
"114, Cross, HSR Layout, Bangalore",Red Point 319,Yes,No,4.1/5,495,080 46593737,HSR Layout,Quick Bites,"Waffles, Paneer Butter Masala","Bakery, Desserts",400
"25, 1st Block, HSR Layout, Bangalore",Classic House 320,Yes,No,4.3/5,306,080 48108739,HSR Layout,Bar,Masala Dosa,"North Indian, Fast Food","1,200"
"121, Main Road, BTM, Bangalore",Local Kitchen 321,Yes,Yes,4.5/5,361,080 41326222,BTM,Delivery,Noodles,"Desserts, BBQ, Bakery",200
"112, 1st Block, Marathahalli, Bangalore",South Side House 322,No,No,4.3/5,190,080 49520501,Marathahalli,Casual Dining,"Pizza, Rolls, Chocolate Brownie, Biryani",,900
"53, Cross, BTM, Bangalore",Green Bistro 323,No,No,4.0/5,330,080 42937964,BTM,Quick Bites,"Noodles, Momos","Fast Food, South Indian, Italian",350
"40, Cross, Koramangala, Bangalore",Urban House 324,Yes,No,4.2/5,192,080 47209620,Koramangala,Casual Dining,"Burgers, Idli, Gulab Jamun",Italian,700
"196, Cross, BTM, Bangalore",Curry Adda 325,No,No,3.4/5,35,080 46622272,BTM,Pub,Burgers,"Beverages, Continental, Fast Food",950
"43, Main Road, HSR Layout, Bangalore",Blue Kitchen 326,Yes,Yes,4.8/5,99,080 48397875,HSR Layout,Quick Bites,"Burgers, Masala Dosa, Cold Coffee, Noodles","Mughlai, Japanese",400
"7, Main Road, Koramangala, Bangalore",Red Villa 327,No,No,NEW,128,080 49244222,Koramangala,Cafe,Pasta,"Desserts, Fast Food",600
"31, Cross, Koramangala, Bangalore",Curry Point 328,No,No,3.9/5,350,080 44855423,Koramangala,Cafe,"Noodles, Masala Dosa","Cafe Food, Mughlai",350
"19, Cross, Indiranagar, Bangalore",Local Bites 329,Yes,No,3.6/5,59,080 45046819,Indiranagar,Quick Bites,Chicken Wings,"Beverages, Thai, South Indian",350
"90, 2nd Stage, Whitefield, Bangalore",Spice House 330,No,No,3.7/5,108,080 40543102,Whitefield,Quick Bites,Burgers,"Japanese, Street Food",450
"78, 1st Block, BTM, Bangalore",Royal Adda 331,Yes,No,4.1/5,286,080 47569019,BTM,Cafe,"Burgers, Idli","North Indian, BBQ, South Indian",600
"163, Cross, Sarjapur Road, Bangalore",Punjabi Corner 332,No,No,3.5/5,138,080 49651481,Sarjapur Road,Dessert Parlor,Butter Chicken,"Japanese, BBQ",350
"120, Ring Road, Banashankari, Bangalore",Urban Junction 333,Yes,No,3.8/5,117,080 46417689,Banashankari,Bar,"Sandwiches, Burgers","Thai, Fast Food, Chinese","1,050"
"112, Cross, Rajajinagar, Bangalore",Grand Point 334,Yes,No,3.5/5,205,080 44274239,Rajajinagar,Delivery,"Pizza, Tandoori Chicken",Desserts,300
"100, Cross, Whitefield, Bangalore",Green Hub 335,No,No,3.7/5,168,080 48836315,Whitefield,Quick Bites,"Gulab Jamun, Butter Chicken","Mughlai, Bakery",400
"128, Cross, Marathahalli, Bangalore",Urban Junction 336,No,No,4.1/5,118,080 42842986,Marathahalli,Casual Dining,Tandoori Chicken,"Cafe Food, Beverages",550
"64, Main Road, Rajajinagar, Bangalore",Spice Bar & Grill 337,No,Yes,3.7/5,195,080 49852880,Rajajinagar,Delivery,"Masala Dosa, Chocolate Brownie",Thai,350
"98, Ring Road, Bellandur, Bangalore",Royal Bar & Grill 338,Yes,Yes,4.8/5,95,080 44340046,Bellandur,Casual Dining,"Pizza, Paneer Butter Masala, Thali","Desserts, Chinese, South Indian",850
"183, 1st Block, Banashankari, Bangalore",Café Point 339,Yes,No,4.2/5,70,080 45933397,Banashankari,Quick Bites,"Filter Coffee, Pizza, Masala Dosa, Tandoori Chicken","Italian, Andhra",350
"23, Cross, Jayanagar, Bangalore",Curry Junction 340,No,No,3.3/5,60,080 47606271,Jayanagar,Food Court,Pizza,Thai,350
"114, 1st Block, Jayanagar, Bangalore",Royal Bites 341,Yes,No,NEW,75,080 46816094,Jayanagar,Dessert Parlor,"Idli, Sandwiches, Biryani, Pizza","Andhra, Chinese, Continental",300
"65, Ring Road, Electronic City, Bangalore",Urban Restaurant 342,No,No,NEW,132,080 41604646,Electronic City,Cafe,"Momos, Burgers, Noodles, Cold Coffee","North Indian, BBQ",500
"36, Cross, Sarjapur Road, Bangalore",Blue Bistro 343,Yes,No,3.9/5,83,080 47800110,Sarjapur Road,Quick Bites,Masala Dosa,"Bakery, Continental, North Indian",300
"100, 1st Block, Indiranagar, Bangalore",Local Diner 344,Yes,Yes,3.8/5,163,080 40506666,Indiranagar,Sweet Shop,"Cold Coffee, Thali, Butter Chicken, Sandwiches","South Indian, Mexican, Continental",250
"16, Ring Road, Sarjapur Road, Bangalore",Spice Express 345,No,No,4.4/5,68,080 49259068,Sarjapur Road,Quick Bites,"Cold Coffee, Biryani","South Indian, Italian, Thai",400
"7, 1st Block, Whitefield, Bangalore",Golden Bar & Grill 346,Yes,No,3.3/5,85,080 46993123,Whitefield,Quick Bites,"Sandwiches, Idli",Beverages,450
"87, Cross, Electronic City, Bangalore",Red Adda 347,No,No,4.0/5,186,080 44072698,Electronic City,Sweet Shop,"Idli, Burgers, Rolls, Pasta","Beverages, Andhra, Mughlai",350
"61, Main Road, Whitefield, Bangalore",Curry Restaurant 348,Yes,No,4.6/5,422,080 41085906,Whitefield,Casual Dining,Chocolate Brownie,Biryani,800
"117, Cross, Koramangala, Bangalore",Urban Bistro 349,No,No,3.5/5,256,080 45216730,Koramangala,Quick Bites,"Paneer Butter Masala, Chicken Wings, Waffles",Italian,300
"60, Main Road, Bellandur, Bangalore",Blue Bistro 350,Yes,No,3.3/5,226,080 40719957,Bellandur,Quick Bites,"Momos, Burgers, Thali, Noodles",Fast Food,350
"39, Ring Road, Marathahalli, Bangalore",Red Bistro 351,Yes,No,3.2/5,193,080 40759128,Marathahalli,Cafe,"Noodles, Cold Coffee, Burgers, Gulab Jamun","Mughlai, Mexican, Thai",350
"71, 1st Block, Koramangala, Bangalore",Blue Kitchen 352,No,Yes,3.5/5,25,080 48859750,Koramangala,Cafe,"Pasta, Momos, Paneer Butter Masala","South Indian, Desserts",500
"121, 1st Block, Jayanagar, Bangalore",Spice Point 353,Yes,Yes,3.9/5,508,080 45837834,Jayanagar,Quick Bites,"Chicken Wings, Butter Chicken","Bakery, Beverages",450
"64, Main Road, Malleshwaram, Bangalore",Royal Diner 354,No,No,3.8/5,181,080 43894448,Malleshwaram,Dessert Parlor,"Butter Chicken, Momos",Biryani,300
"13, 2nd Stage, Rajajinagar, Bangalore",The Villa 355,Yes,No,4.3/5,109,080 43050780,Rajajinagar,Bakery,Pizza,North Indian,250
"53, 1st Block, Banashankari, Bangalore",Punjabi Junction 356,Yes,No,4.0/5,116,080 40439716,Banashankari,Casual Dining,"Sandwiches, Cold Coffee","Japanese, Beverages",700
"76, Main Road, Jayanagar, Bangalore",Golden Diner 357,Yes,No,4.2/5,56,080 42781603,Jayanagar,Fine Dining,"Momos, Chocolate Brownie, Cold Coffee, Paneer Butter Masala",Beverages,"1,900"
"97, 1st Block, Banashankari, Bangalore",Red Villa 358,No,No,3.6/5,183,080 41581017,Banashankari,Bakery,"Sandwiches, Masala Dosa, Chicken Wings","Fast Food, Andhra",300
"131, Ring Road, Marathahalli, Bangalore",Local Adda 359,Yes,No,4.0/5,203,080 43677404,Marathahalli,Pub,"Thali, Masala Dosa, Chicken Wings",,800
"178, Ring Road, Rajajinagar, Bangalore",Royal Express 360,No,No,4.0/5,162,080 49833797,Rajajinagar,Delivery,"Noodles, Cold Coffee","Street Food, Mughlai",350
"47, Main Road, BTM, Bangalore",Green Junction 361,Yes,No,3.7/5,53,080 47957389,BTM,Quick Bites,Momos,"Japanese, Biryani",200
"25, Cross, HSR Layout, Bangalore",Local Kitchen 362,Yes,No,4.6/5,386,080 44379035,HSR Layout,Cafe,Momos,Bakery,450
"13, 2nd Stage, Koramangala, Bangalore",Urban Hub 363,No,No,3.8/5,70,080 49755288,Koramangala,Casual Dining,,Mexican,500
"15, 2nd Stage, Basavanagudi, Bangalore",The Bistro 364,Yes,No,3.7/5,400,080 47398738,Basavanagudi,Quick Bites,"Noodles, Pizza, Burgers, Cold Coffee","Andhra, South Indian, Fast Food",500
"139, 2nd Stage, Electronic City, Bangalore",Punjabi Point 365,Yes,No,3.5/5,286,080 42709104,Electronic City,Bakery,,"Italian, Fast Food",350
"86, 2nd Stage, Banashankari, Bangalore",Local Diner 366,Yes,No,4.0/5,419,080 46319589,Banashankari,Cafe,"Burgers, Thali, Tandoori Chicken, Chocolate Brownie","Japanese, Biryani",350
"6, 2nd Stage, HSR Layout, Bangalore",Red Kitchen 367,Yes,No,4.3/5,670,080 48223391,HSR Layout,Casual Dining,"Cold Coffee, Noodles, Momos, Tandoori Chicken","Beverages, Thai, South Indian",550
"154, 2nd Stage, Indiranagar, Bangalore",Grand Villa 368,Yes,No,3.6/5,192,080 45186326,Indiranagar,Bakery,Pasta,"Beverages, Mexican, Continental",300
"2, Cross, Electronic City, Bangalore",South Side Restaurant 369,No,No,3.7/5,70,080 45905402,Electronic City,Food Court,,Japanese,450
"162, Main Road, Marathahalli, Bangalore",Curry House 370,No,No,3.5/5,658,080 48996926,Marathahalli,Kiosk,Thali,"Thai, Desserts",200
"65, 1st Block, Koramangala, Bangalore",Grand Junction 371,No,No,4.1/5,224,080 43274201,Koramangala,Dessert Parlor,Pizza,Street Food,250
"176, 2nd Stage, Koramangala, Bangalore",The Express 372,No,Yes,3.9/5,167,080 48102097,Koramangala,Quick Bites,"Pizza, Masala Dosa, Biryani",BBQ,300
"55, Main Road, Indiranagar, Bangalore",Spice Express 373,No,No,4.1/5,281,080 42129352,Indiranagar,Cafe,"Noodles, Tandoori Chicken, Chicken Wings, Idli","BBQ, Continental, Cafe Food",400
"72, Main Road, MG Road, Bangalore",Spice Villa 374,Yes,No,3.4/5,195,080 42705195,MG Road,Quick Bites,Gulab Jamun,"South Indian, Italian",450
"58, Ring Road, JP Nagar, Bangalore",Local Hub 375,Yes,No,3.9/5,22,080 42176494,JP Nagar,Delivery,"Paneer Butter Masala, Thali, Pasta","Beverages, Thai",300
"80, Main Road, MG Road, Bangalore",Spice Villa 376,Yes,No,4.5/5,168,080 47654683,MG Road,Casual Dining,Cold Coffee,"Street Food, Beverages, Cafe Food",950
"186, Main Road, JP Nagar, Bangalore",Curry Restaurant 377,No,No,3.8/5,567,080 40211581,JP Nagar,Delivery,,"Mexican, Thai, Mughlai",250
"77, 2nd Stage, Marathahalli, Bangalore",The Bar & Grill 378,No,No,3.6/5,91,080 44364162,Marathahalli,Dessert Parlor,Tandoori Chicken,"North Indian, Chinese",200
"196, Ring Road, Koramangala, Bangalore",Punjabi Kitchen 379,Yes,No,4.3/5,215,080 45390167,Koramangala,Delivery,"Momos, Filter Coffee, Pizza, Biryani","Desserts, BBQ, South Indian",300
"158, Main Road, Marathahalli, Bangalore",Blue Kitchen 380,No,No,3.9/5,423,080 45237821,Marathahalli,Bakery,"Thali, Cold Coffee, Chicken Wings, Sandwiches",Mughlai,300
"58, 1st Block, Hebbal, Bangalore",South Side Express 381,Yes,No,4.4/5,533,080 41034983,Hebbal,Quick Bites,"Tandoori Chicken, Thali","Biryani, Andhra",300
"186, 1st Block, Bellandur, Bangalore",Spice Kitchen 382,Yes,No,NEW,89,080 48266671,Bellandur,Delivery,"Paneer Butter Masala, Momos, Gulab Jamun","Italian, Biryani, Mexican",350
"18, 2nd Stage, Sarjapur Road, Bangalore",Spice Corner 383,No,No,3.9/5,193,080 40500248,Sarjapur Road,Quick Bites,"Idli, Rolls, Filter Coffee","Japanese, North Indian",250
"23, Ring Road, JP Nagar, Bangalore",Red Bar & Grill 384,Yes,No,4.1/5,149,080 46596924,JP Nagar,Casual Dining,,"BBQ, Mexican, Chinese",450
"92, 2nd Stage, Koramangala, Bangalore",Green Restaurant 385,Yes,No,NEW,103,080 40234212,Koramangala,Quick Bites,Thali,Cafe Food,550
"40, 2nd Stage, HSR Layout, Bangalore",South Side Point 386,Yes,No,4.2/5,629,080 49017313,HSR Layout,Sweet Shop,Waffles,"Beverages, Cafe Food",250
"98, Ring Road, Sarjapur Road, Bangalore",Golden Kitchen 387,Yes,No,3.9/5,179,080 41168650,Sarjapur Road,Casual Dining,"Masala Dosa, Chocolate Brownie, Thali",Biryani,950
"9, Ring Road, Bellandur, Bangalore",Green Diner 388,No,No,3.3/5,124,080 42982157,Bellandur,Food Court,Rolls,Chinese,250
"3, Main Road, Yelahanka, Bangalore",Urban Cafe 389,Yes,No,3.8/5,474,080 42001683,Yelahanka,Cafe,"Butter Chicken, Rolls, Paneer Butter Masala, Masala Dosa","Biryani, Street Food",400
"145, Main Road, Hebbal, Bangalore",Golden Hub 390,Yes,No,3.5/5,61,080 47372644,Hebbal,Bakery,"Cold Coffee, Rolls, Tandoori Chicken","Andhra, Chinese, Fast Food",350
"166, 1st Block, Jayanagar, Bangalore",Punjabi Point 391,Yes,No,3.3/5,72,080 49332147,Jayanagar,Casual Dining,"Masala Dosa, Pasta, Filter Coffee",Fast Food,250
"107, Cross, HSR Layout, Bangalore",Royal Bistro 392,No,No,3.9/5,142,080 44891493,HSR Layout,Quick Bites,"Thali, Noodles, Filter Coffee, Pizza",Andhra,450
"120, Cross, Electronic City, Bangalore",Spice Hub 393,Yes,No,4.1/5,138,080 42750152,Electronic City,Fine Dining,"Chicken Wings, Paneer Butter Masala, Thali","Desserts, Continental","1,200"
"38, Ring Road, Jayanagar, Bangalore",Royal House 394,Yes,No,3.7/5,226,080 40216528,Jayanagar,Quick Bites,"Paneer Butter Masala, Tandoori Chicken, Momos, Cold Coffee","Mughlai, Desserts",300
"124, Main Road, HSR Layout, Bangalore",Café Junction 395,No,Yes,3.8/5,175,080 47492210,HSR Layout,Cafe,"Burgers, Momos, Thali",Mughlai,350
"25, Cross, Marathahalli, Bangalore",South Side Villa 396,No,No,4.1/5,595,080 41893282,Marathahalli,Bar,Pasta,Street Food,"1,350"
"195, 1st Block, BTM, Bangalore",Café Junction 397,Yes,No,3.9/5,233,080 42531358,BTM,Quick Bites,Noodles,,350
"25, Main Road, Sarjapur Road, Bangalore",Local Point 398,Yes,No,3.7/5,309,080 42931541,Sarjapur Road,Delivery,,Street Food,450
"169, 1st Block, Sarjapur Road, Bangalore",Spice Cafe 399,No,No,3.4/5,63,080 46833522,Sarjapur Road,Sweet Shop,"Gulab Jamun, Pizza, Paneer Butter Masala","Continental, South Indian",250
"8, 1st Block, MG Road, Bangalore",The Cafe 400,Yes,No,3.5/5,240,080 49845246,MG Road,Cafe,"Pizza, Filter Coffee, Waffles, Butter Chicken","Mexican, Thai",150
"64, Cross, HSR Layout, Bangalore",Blue Cafe 401,No,No,3.5/5,175,080 45482744,HSR Layout,Food Court,,Bakery,300
"144, Ring Road, Sarjapur Road, Bangalore",Blue Express 402,No,No,3.2/5,432,080 40309220,Sarjapur Road,Casual Dining,"Chocolate Brownie, Burgers, Filter Coffee, Sandwiches","Mughlai, Bakery",850
"110, 2nd Stage, HSR Layout, Bangalore",Curry Express 403,No,No,3.9/5,224,080 44371252,HSR Layout,Quick Bites,Masala Dosa,"Cafe Food, Continental, Mughlai",400
"132, 2nd Stage, Bellandur, Bangalore",Blue Kitchen 404,No,No,3.8/5,389,080 49969194,Bellandur,Quick Bites,"Sandwiches, Rolls, Waffles, Chicken Wings","Italian, Japanese, Desserts",400
"23, Cross, MG Road, Bangalore",Café Cafe 405,Yes,Yes,3.7/5,107,080 42125661,MG Road,Quick Bites,"Momos, Burgers",Cafe Food,350
"45, Ring Road, Marathahalli, Bangalore",Curry Corner 406,Yes,No,3.8/5,129,080 45399187,Marathahalli,Casual Dining,"Paneer Butter Masala, Idli","Street Food, Fast Food",750
"147, Main Road, Whitefield, Bangalore",Curry Diner 407,Yes,Yes,3.7/5,144,080 45528454,Whitefield,Bar,"Tandoori Chicken, Cold Coffee, Biryani","Italian, Japanese",900
"10, Ring Road, Sarjapur Road, Bangalore",Green Villa 408,Yes,No,-,99,080 44244867,Sarjapur Road,Bakery,"Filter Coffee, Tandoori Chicken","Street Food, Mexican",300
"18, 2nd Stage, Basavanagudi, Bangalore",Local Bar & Grill 409,Yes,No,4.2/5,197,080 47894923,Basavanagudi,Quick Bites,"Cold Coffee, Paneer Butter Masala",North Indian,450
"196, Cross, Banashankari, Bangalore",Red Corner 410,Yes,No,4.1/5,75,080 45405995,Banashankari,Bakery,Burgers,Japanese,350
"137, 1st Block, Electronic City, Bangalore",Blue Cafe 411,No,No,3.5/5,129,080 47481697,Electronic City,Quick Bites,Cold Coffee,Italian,450
"114, Ring Road, Banashankari, Bangalore",Curry Corner 412,Yes,No,3.9/5,405,080 42530641,Banashankari,Quick Bites,"Chocolate Brownie, Waffles, Filter Coffee",North Indian,300
"22, Main Road, Yelahanka, Bangalore",Green Bar & Grill 413,Yes,No,3.3/5,27,080 46757774,Yelahanka,Delivery,"Thali, Pasta, Pizza, Idli","Cafe Food, Beverages",400
"19, 2nd Stage, Malleshwaram, Bangalore",Classic Corner 414,Yes,No,-,749,080 44999574,Malleshwaram,Delivery,"Paneer Butter Masala, Filter Coffee, Noodles, Tandoori Chicken",Mexican,500
"6, Main Road, BTM, Bangalore",Green Bistro 415,Yes,Yes,3.9/5,289,080 44548831,BTM,Casual Dining,Pasta,"BBQ, Mughlai",700
"172, Cross, Banashankari, Bangalore",Blue Cafe 416,Yes,No,3.4/5,143,080 49584247,Banashankari,Delivery,Gulab Jamun,"Cafe Food, South Indian",400
"186, Cross, Koramangala, Bangalore",Curry Hub 417,No,No,3.0/5,228,080 48164582,Koramangala,Delivery,"Waffles, Gulab Jamun, Idli, Thali",Biryani,250
"18, 2nd Stage, Koramangala, Bangalore",Royal Express 418,Yes,Yes,4.0/5,276,080 42148193,Koramangala,Casual Dining,"Cold Coffee, Gulab Jamun, Masala Dosa","Street Food, Mexican, Continental",300
"188, 2nd Stage, Indiranagar, Bangalore",Spice Point 419,Yes,No,3.7/5,221,080 43198700,Indiranagar,Pub,"Waffles, Filter Coffee, Butter Chicken, Momos","Thai, BBQ",500
"137, Cross, Marathahalli, Bangalore",Golden Cafe 420,Yes,Yes,3.8/5,173,080 44440179,Marathahalli,Bar,"Waffles, Rolls, Butter Chicken","Beverages, Continental, Biryani",950
"27, 1st Block, Basavanagudi, Bangalore",Grand Cafe 421,No,No,4.2/5,517,080 43427340,Basavanagudi,Pub,Momos,Beverages,750
"36, 2nd Stage, BTM, Bangalore",Punjabi Corner 422,No,No,3.9/5,318,080 47639204,BTM,Bakery,"Paneer Butter Masala, Momos, Biryani, Cold Coffee","Mexican, Continental",100
"86, Main Road, Whitefield, Bangalore",Grand Diner 423,Yes,No,3.9/5,465,080 47763511,Whitefield,Quick Bites,"Paneer Butter Masala, Idli","Street Food, Fast Food, BBQ",250
"7, 1st Block, Jayanagar, Bangalore",Café Point 424,Yes,No,4.0/5,106,080 45886525,Jayanagar,Pub,"Sandwiches, Tandoori Chicken, Idli, Thali",Italian,850
"46, Cross, Marathahalli, Bangalore",Curry Adda 425,No,Yes,3.8/5,199,080 49736535,Marathahalli,Bakery,Chocolate Brownie,Chinese,300
"148, Main Road, Hebbal, Bangalore",Curry Kitchen 426,No,Yes,3.8/5,135,080 43391399,Hebbal,Casual Dining,"Butter Chicken, Cold Coffee, Chocolate Brownie",Street Food,650
"120, 1st Block, Marathahalli, Bangalore",Green Corner 427,No,No,3.2/5,162,080 43620326,Marathahalli,Cafe,Noodles,"Andhra, Cafe Food, Chinese",550
"185, 2nd Stage, JP Nagar, Bangalore",Spice Hub 428,Yes,No,4.2/5,128,080 44401197,JP Nagar,Quick Bites,"Idli, Cold Coffee, Burgers","Fast Food, BBQ, Biryani",500
"165, Ring Road, Marathahalli, Bangalore",Royal Express 429,No,No,3.3/5,143,080 41382294,Marathahalli,Casual Dining,"Sandwiches, Chocolate Brownie, Pasta",Fast Food,650
"110, Ring Road, Yelahanka, Bangalore",Red Cafe 430,Yes,No,4.0/5,98,080 46881255,Yelahanka,Bar,"Pizza, Burgers","Italian, Biryani","1,150"
"75, 2nd Stage, Marathahalli, Bangalore",Curry Corner 431,No,No,3.8/5,224,080 49702655,Marathahalli,Casual Dining,"Paneer Butter Masala, Chocolate Brownie, Butter Chicken, Cold Coffee",Beverages,700
"198, Cross, Basavanagudi, Bangalore",Red Bistro 432,Yes,No,3.5/5,28,080 43002503,Basavanagudi,Food Court,Waffles,"Bakery, Desserts, Continental",350
"54, 1st Block, Yelahanka, Bangalore",Spice Kitchen 433,No,No,3.5/5,48,080 42033050,Yelahanka,Delivery,"Idli, Momos, Pasta, Sandwiches",South Indian,550
"72, Main Road, Indiranagar, Bangalore",Grand Villa 434,No,No,3.8/5,20,080 49438678,Indiranagar,Food Court,,"South Indian, North Indian, BBQ",400
"186, Ring Road, Koramangala, Bangalore",Spice Hub 435,No,No,3.9/5,86,080 46097983,Koramangala,Dessert Parlor,"Idli, Waffles, Pizza, Sandwiches","Andhra, Continental, Mughlai",300
"78, Ring Road, Electronic City, Bangalore",Local Adda 436,Yes,No,3.9/5,456,080 44011012,Electronic City,Quick Bites,"Rolls, Masala Dosa, Biryani, Filter Coffee","Mexican, Andhra",250
"138, 1st Block, BTM, Bangalore",South Side Hub 437,Yes,No,4.1/5,621,080 44538442,BTM,Delivery,"Chocolate Brownie, Chicken Wings, Butter Chicken, Gulab Jamun",Italian,400
"170, 2nd Stage, Indiranagar, Bangalore",Blue Restaurant 438,Yes,No,3.8/5,380,080 42141876,Indiranagar,Casual Dining,"Rolls, Sandwiches","Andhra, Mexican, South Indian",700
"134, Ring Road, BTM, Bangalore",Golden Junction 439,Yes,No,4.1/5,279,080 43341675,BTM,Delivery,Filter Coffee,Mexican,450
"86, Cross, BTM, Bangalore",Red House 440,No,No,3.7/5,171,080 44846168,BTM,Food Court,"Chicken Wings, Idli, Thali","Bakery, Continental",250
"63, 1st Block, Koramangala, Bangalore",Spice Junction 441,Yes,No,3.8/5,112,080 48399309,Koramangala,Cafe,"Masala Dosa, Filter Coffee, Butter Chicken","Biryani, Street Food, Italian",350
"104, Ring Road, MG Road, Bangalore",Green Corner 442,Yes,No,3.5/5,226,080 45882609,MG Road,Cafe,"Noodles, Rolls, Pizza","South Indian, Cafe Food",400
"56, Main Road, MG Road, Bangalore",Red Corner 443,Yes,No,3.5/5,270,080 42310619,MG Road,Delivery,Biryani,"BBQ, Fast Food",250
"136, Cross, Indiranagar, Bangalore",Classic Hub 444,No,Yes,3.8/5,212,080 47641363,Indiranagar,Sweet Shop,,"North Indian, Continental",250
"110, Main Road, MG Road, Bangalore",Classic Villa 445,No,No,4.3/5,175,080 47029954,MG Road,Casual Dining,"Tandoori Chicken, Chocolate Brownie","BBQ, South Indian",550
"161, Ring Road, HSR Layout, Bangalore",Café Hub 446,Yes,No,NEW,280,080 42803105,HSR Layout,Cafe,"Thali, Butter Chicken","Italian, Cafe Food, BBQ",550
"111, Cross, Malleshwaram, Bangalore",The Adda 447,Yes,No,NEW,115,080 40498292,Malleshwaram,Pub,"Waffles, Filter Coffee, Paneer Butter Masala, Chocolate Brownie",Bakery,"1,150"
"199, 1st Block, Indiranagar, Bangalore",Urban Villa 448,Yes,No,3.4/5,131,080 41628110,Indiranagar,Delivery,"Pizza, Rolls, Filter Coffee, Paneer Butter Masala",Mughlai,450
"23, Main Road, Koramangala, Bangalore",Urban Junction 449,No,No,-,102,080 47428395,Koramangala,Fine Dining,"Masala Dosa, Gulab Jamun, Cold Coffee","Street Food, Italian, Bakery","1,700"
"174, 2nd Stage, Jayanagar, Bangalore",Classic Junction 450,Yes,No,3.4/5,248,080 46776736,Jayanagar,Dessert Parlor,"Gulab Jamun, Tandoori Chicken, Chicken Wings",Andhra,200
"5, 2nd Stage, Indiranagar, Bangalore",Urban Bar & Grill 451,Yes,No,3.9/5,124,080 46795583,Indiranagar,Quick Bites,"Waffles, Cold Coffee","Bakery, Mexican, Cafe Food",350
"64, 2nd Stage, BTM, Bangalore",Punjabi Bar & Grill 452,Yes,Yes,4.8/5,256,080 40769877,BTM,Bar,"Rolls, Momos","Italian, Cafe Food",950
"127, 2nd Stage, BTM, Bangalore",Café Point 453,No,No,4.1/5,315,080 49556636,BTM,Quick Bites,"Biryani, Filter Coffee, Tandoori Chicken","BBQ, Cafe Food",300
"15, 1st Block, Koramangala, Bangalore",The Diner 454,Yes,Yes,4.1/5,192,080 41078138,Koramangala,Delivery,,"Fast Food, Andhra, Street Food",500
"38, 2nd Stage, Hebbal, Bangalore",Grand Junction 455,Yes,No,4.3/5,244,080 41508766,Hebbal,Casual Dining,"Cold Coffee, Masala Dosa, Tandoori Chicken, Pizza","Beverages, Bakery, Biryani",900
"94, 2nd Stage, Basavanagudi, Bangalore",Red Adda 456,No,No,4.0/5,163,080 41273334,Basavanagudi,Casual Dining,"Waffles, Rolls, Chocolate Brownie",Desserts,450
"8, Main Road, JP Nagar, Bangalore",Blue Bar & Grill 457,No,No,4.3/5,434,080 46718835,JP Nagar,Bakery,Paneer Butter Masala,"Biryani, Chinese, Mexican",350
"78, 2nd Stage, Indiranagar, Bangalore",South Side Kitchen 458,Yes,No,-,234,080 41312552,Indiranagar,Delivery,"Idli, Filter Coffee","Desserts, Fast Food",400
"96, Ring Road, Marathahalli, Bangalore",Blue Adda 459,No,No,3.8/5,128,080 47441221,Marathahalli,Casual Dining,"Paneer Butter Masala, Momos, Biryani, Cold Coffee","Street Food, Italian, Andhra",700
"160, 2nd Stage, BTM, Bangalore",Classic Bites 460,Yes,No,4.2/5,93,080 44139145,BTM,Delivery,"Idli, Rolls","Mexican, Beverages",500
"136, 1st Block, Whitefield, Bangalore",Blue Restaurant 461,No,Yes,4.0/5,401,,Whitefield,Casual Dining,"Masala Dosa, Waffles, Biryani","Chinese, Italian, Street Food",550
"36, Cross, Indiranagar, Bangalore",Golden Diner 462,Yes,No,3.5/5,30,080 48550698,Indiranagar,Delivery,"Waffles, Gulab Jamun, Tandoori Chicken","Italian, Chinese",550
"192, 1st Block, Koramangala, Bangalore",Local Diner 463,Yes,No,3.7/5,269,080 40057139,Koramangala,Quick Bites,"Idli, Gulab Jamun, Sandwiches, Pizza","Chinese, Continental, Japanese",300
"170, Cross, HSR Layout, Bangalore",Green Express 464,No,No,3.4/5,172,080 45680009,HSR Layout,Quick Bites,"Thali, Chocolate Brownie, Filter Coffee","Mexican, Thai, Beverages",450
